Individual,Population,Locus1,,Locus2,,Locus3,,Locus4,,Locus5,,Locus6,,Locus7,,Locus8,,Locus9,,Locus10,,Locus11,,Locus12,,Locus13,,Locus14,,Locus15,,Locus16,,Locus17,,Locus18,,Locus19,,Locus20,,Locus21,
1,1,33,33,36,36,41,41,44,44,51,53,45,25,60,60,80,80,52,52,79,79,83,83,193,213,268,276,203,219,262,266,207,247,215,223,138,166,105,133,208,208,12,888
2,1,33,33,36,36,41,41,44,44,53,53,25,25,60,60,80,80,52,52,78,79,83,83,177,185,260,288,175,215,266,298,199,251,195,211,134,154,105,145,172,220,5,888
3,1,33,34,36,36,41,41,44,44,52,53,25,25,60,60,70,80,52,52,79,79,83,83,169,209,276,280,207,211,266,294,215,235,195,219,134,138,105,121,124,132,5,888
4,1,33,33,36,36,41,42,44,44,51,53,45,45,50,50,70,80,52,52,78,79,83,83,169,213,240,272,199,207,282,298,207,231,199,263,150,158,109,117,164,188,12,888
5,1,33,33,36,36,41,42,44,44,51,53,45,25,60,60,70,70,52,52,78,78,83,83,169,217,228,240,199,203,254,298,259,279,195,195,146,158,93,129,116,220,12,888
6,1,33,33,36,36,41,41,44,44,53,53,45,25,50,60,80,80,52,52,79,79,83,83,173,173,288,304,179,207,262,302,227,243,223,239,134,134,109,129,116,176,12,888
7,1,33,33,36,36,41,41,44,44,53,53,25,25,60,60,80,80,52,52,78,79,82,83,169,169,216,256,175,287,262,262,243,247,219,263,146,166,105,109,120,244,5,888
8,1,33,33,36,36,41,41,44,44,51,53,45,35,60,60,80,80,52,52,79,79,83,83,169,169,212,292,211,215,266,266,227,251,263,319,134,170,93,121,180,236,5,888
9,1,33,34,36,36,41,41,44,44,52,53,25,25,60,60,80,80,52,52,79,79,83,83,165,225,292,296,159,211,294,294,251,275,203,251,134,158,97,121,124,248,12,888
10,1,33,33,36,36,41,41,44,44,54,53,25,25,60,60,?,?,52,52,?,?,82,83,169,173,264,280,155,171,250,270,211,295,235,239,134,158,121,129,188,92,16,888
11,1,33,33,36,37,42,42,44,44,51,53,45,25,60,60,70,80,52,52,79,79,83,83,169,185,284,292,159,187,270,294,211,251,215,223,134,134,129,145,128,132,12,888
12,1,33,33,36,36,41,42,44,44,53,53,25,25,60,60,80,80,?,?,79,79,83,83,169,221,272,292,203,207,266,270,255,263,195,247,134,134,97,105,116,124,12,888
13,1,33,33,36,36,41,42,44,44,51,53,45,45,60,60,80,80,52,52,78,79,83,83,169,205,268,288,183,211,294,294,199,255,207,247,158,158,113,149,120,272,16,888
14,1,33,33,36,36,41,42,44,44,53,53,45,45,60,60,80,80,52,52,?,?,83,83,169,173,260,288,207,215,254,282,199,211,215,223,134,154,109,149,180,208,12,888
15,1,33,33,36,36,41,42,44,44,51,53,45,45,60,60,80,80,52,52,79,79,82,83,145,181,236,276,179,207,250,322,211,243,247,283,134,134,113,121,124,208,5,888
16,1,33,33,36,36,41,41,44,44,53,53,45,35,60,60,70,80,52,52,79,79,83,83,133,149,272,280,207,299,250,250,223,247,231,239,134,138,129,133,168,172,12,888
17,1,33,33,36,36,41,41,44,44,51,53,45,55,50,60,80,80,52,52,79,79,83,83,169,173,264,304,183,199,282,286,223,295,203,251,134,134,121,129,120,208,12,888
18,1,34,34,36,36,41,42,44,44,53,53,45,45,50,60,80,80,52,52,78,79,83,83,161,161,264,300,179,291,266,270,191,203,235,271,134,134,121,149,128,128,16,888
19,1,33,33,36,36,41,42,44,44,?,?,45,25,60,60,70,70,52,52,78,79,83,83,213,225,256,288,167,211,270,306,239,255,243,247,134,158,121,149,108,120,5,888
20,1,33,33,36,36,42,42,44,44,53,53,45,45,60,60,70,80,52,52,?,?,83,83,161,165,240,288,207,263,266,342,267,271,203,251,134,134,97,157,136,168,12,888
21,1,33,33,36,36,41,41,44,44,52,52,45,45,60,60,70,80,52,52,79,79,82,83,193,213,260,284,175,295,274,278,211,251,215,223,134,134,121,149,124,272,12,888
22,1,33,33,36,36,41,41,44,44,51,53,45,45,60,60,80,80,52,52,78,78,83,83,137,169,272,288,179,299,258,290,223,227,227,247,134,194,109,109,136,172,12,888
23,1,33,33,36,36,41,41,44,44,51,53,45,25,60,60,70,80,51,52,79,79,83,83,165,169,236,292,199,211,270,294,251,271,203,227,134,138,105,133,128,240,5,888
24,1,33,33,36,36,41,41,44,44,51,53,25,25,60,60,70,80,52,52,78,79,82,83,161,161,280,280,203,211,254,322,239,295,219,287,134,134,105,125,164,184,5,888
25,1,33,33,36,36,41,42,44,44,51,53,45,45,50,60,80,80,52,52,79,79,83,83,189,209,268,296,179,203,270,278,215,223,187,227,134,158,109,137,120,204,2,888
26,1,33,34,36,36,41,42,44,44,51,54,45,25,60,60,70,80,52,52,79,79,83,83,145,185,260,300,183,191,278,286,195,283,199,251,134,158,105,133,156,236,5,888
27,1,33,34,36,36,41,41,44,44,53,53,45,25,60,60,80,80,52,52,79,79,83,83,185,193,256,260,207,211,270,290,239,259,199,251,134,134,105,117,132,188,12,888
28,1,33,34,36,36,41,41,44,44,52,53,25,25,60,60,80,80,52,52,78,79,83,83,133,169,260,296,203,211,254,254,199,247,259,275,134,134,117,129,124,192,12,888
29,1,33,33,36,36,41,41,44,44,51,53,45,25,60,60,80,80,52,52,78,79,83,83,165,169,236,316,199,219,286,290,211,247,199,263,134,194,117,133,208,208,5,888
30,1,33,33,36,36,41,42,44,44,51,51,45,25,60,60,80,80,52,52,?,?,83,83,165,169,224,228,199,203,254,258,211,235,199,223,134,142,129,133,100,124,12,888
31,1,33,33,36,36,41,41,44,44,53,53,45,25,60,60,70,80,52,52,78,79,83,83,165,177,252,276,191,295,270,290,247,291,203,271,138,166,121,137,132,172,12,888
32,1,33,33,36,36,41,41,44,44,51,53,45,45,60,60,70,80,52,52,78,79,83,83,177,193,280,304,199,207,250,270,195,287,199,243,142,146,105,109,128,208,12,888
33,1,33,33,36,36,41,41,44,44,51,53,45,45,50,60,80,80,51,52,79,79,83,83,169,173,224,292,203,267,262,286,247,247,195,287,134,158,97,121,172,184,12,888
34,1,33,33,36,36,42,42,44,44,51,54,25,25,60,60,80,80,52,52,79,79,83,83,165,229,256,256,187,295,270,294,199,299,195,203,134,146,145,149,100,188,12,888
35,1,33,33,36,36,42,42,44,44,53,53,45,55,50,60,70,80,52,52,79,79,83,83,169,185,272,284,183,215,270,270,227,271,219,319,134,134,105,121,184,188,5,888
36,1,33,33,36,36,41,41,44,44,53,53,45,45,60,60,80,80,52,52,78,79,82,83,169,173,220,256,159,211,282,302,239,251,195,271,134,142,109,121,116,244,5,888
37,1,33,33,36,37,41,41,44,44,51,53,45,25,60,60,80,80,52,52,79,79,83,83,181,209,236,248,167,199,298,330,203,247,203,223,134,134,93,141,132,236,5,888
38,1,33,33,36,36,41,42,44,44,51,53,25,55,50,50,80,80,52,52,79,79,83,83,169,193,224,288,179,207,266,322,239,251,195,239,134,134,105,133,188,208,5,888
39,1,33,33,36,36,42,42,44,44,53,53,45,55,50,60,80,80,52,52,79,79,83,83,145,213,264,316,223,319,270,294,211,243,247,271,134,158,113,121,168,172,5,888
40,1,33,34,36,36,42,42,44,44,51,53,25,55,60,60,70,80,52,52,78,79,83,83,173,181,232,248,167,215,286,294,231,295,223,235,134,146,121,133,112,92,5,888
1,2,33,33,36,36,41,41,44,44,53,53,45,25,50,60,70,80,52,52,78,79,83,83,177,193,292,296,207,299,270,330,211,215,215,223,134,142,93,97,124,212,12,888
2,2,33,33,36,36,41,41,44,44,53,53,55,55,60,60,70,80,52,52,?,?,83,83,177,189,228,304,199,271,270,282,211,239,195,219,134,162,121,145,172,236,12,888
3,2,33,33,36,36,41,41,44,44,51,53,45,25,60,60,80,80,52,52,78,79,83,83,169,169,268,276,171,211,266,270,239,247,227,235,134,206,109,113,128,212,2,888
4,2,33,33,36,37,42,42,44,44,53,53,45,25,60,60,80,80,52,52,78,79,83,83,133,213,252,264,163,175,270,330,219,223,223,243,146,158,97,145,128,96,12,888
5,2,33,33,36,36,41,41,44,44,51,53,45,25,60,60,70,80,52,52,79,79,83,83,165,209,224,256,159,211,254,270,211,227,199,215,134,146,109,149,124,220,12,888
6,2,33,33,36,36,41,42,44,44,53,53,25,55,60,60,80,80,?,?,79,79,83,83,133,189,252,272,155,199,270,270,199,231,223,235,134,158,97,121,124,220,12,888
7,2,33,33,36,36,41,41,44,44,54,53,45,25,60,60,80,80,52,52,78,78,83,83,173,173,232,272,159,211,294,302,203,203,191,227,134,158,121,121,188,92,16,888
8,2,33,33,36,36,41,41,44,44,51,53,25,25,60,60,80,80,52,52,78,78,83,83,157,169,264,288,187,207,250,286,235,243,223,239,134,134,125,137,212,236,2,888
9,2,33,33,36,36,41,42,44,44,54,53,45,45,60,60,80,80,52,52,78,79,83,83,157,173,252,360,171,187,250,286,227,231,203,219,134,134,105,133,160,244,2,888
10,2,34,34,36,36,41,42,44,44,53,53,45,25,60,60,80,80,52,52,78,78,83,83,209,209,224,228,175,219,262,282,211,239,247,315,134,134,109,141,172,184,2,888
11,2,33,33,36,36,41,42,44,44,53,53,45,25,60,60,70,80,52,52,79,79,83,83,169,177,256,264,171,227,250,270,223,271,239,239,146,146,121,133,116,188,12,888
12,2,33,33,36,36,41,42,44,44,51,51,25,25,60,60,80,80,52,52,78,79,83,83,181,225,252,272,187,207,290,294,235,243,223,227,134,134,97,105,132,164,16,888
13,2,33,33,36,36,41,41,44,44,53,53,25,25,60,60,70,80,52,52,78,79,83,83,169,225,264,272,187,331,278,282,227,247,223,259,134,158,121,125,228,252,12,888
14,2,33,34,36,36,42,42,44,44,53,53,25,25,60,60,70,80,52,52,79,79,83,83,133,185,228,248,171,203,262,294,195,195,219,239,134,154,89,137,100,168,12,888
15,2,33,34,36,36,41,41,44,44,51,53,25,25,60,60,70,80,52,52,79,79,83,83,117,169,228,248,175,203,270,278,207,243,223,243,162,166,97,121,132,212,12,888
16,2,33,33,36,36,41,41,44,44,53,53,45,25,60,60,80,80,?,?,78,79,83,83,185,209,264,280,211,295,270,278,207,243,227,239,134,158,109,121,132,156,12,888
17,2,33,33,36,36,41,41,44,44,53,53,45,45,60,60,80,80,52,52,78,79,83,83,157,181,268,280,207,219,266,282,203,219,203,223,134,162,117,125,116,272,12,888
18,2,33,33,36,36,41,41,44,44,53,53,25,25,60,60,80,80,52,52,78,79,83,83,157,225,272,292,167,211,294,310,227,231,227,247,134,182,109,109,120,188,12,888
19,2,33,34,36,36,42,42,44,44,53,53,25,25,50,60,80,80,52,52,78,79,83,83,193,213,224,360,187,187,254,282,199,299,223,231,146,162,145,149,128,192,2,888
20,2,33,33,36,36,42,42,44,44,53,53,45,25,50,60,80,80,52,52,79,79,83,83,165,177,228,292,171,207,278,278,223,227,203,247,134,134,125,125,184,232,12,888
21,2,33,34,36,36,41,42,44,44,51,54,25,25,60,60,70,70,52,52,79,79,83,83,137,169,224,284,179,227,286,330,227,283,195,223,134,134,125,133,128,212,12,888
22,2,33,33,36,36,41,41,44,44,51,53,45,25,60,60,70,80,52,52,79,79,83,83,157,173,272,272,175,187,270,302,211,223,259,263,134,162,97,121,132,272,2,888
23,2,33,33,36,36,41,41,44,44,51,51,25,25,60,60,80,80,52,52,78,79,83,83,133,165,248,280,207,263,298,302,211,219,227,247,146,158,89,113,124,128,16,888
24,2,33,34,36,36,41,41,44,44,51,53,25,35,60,60,80,80,52,52,79,79,82,83,157,157,252,256,191,211,262,302,235,247,199,231,158,158,137,137,100,120,12,888
25,2,33,33,36,37,41,41,44,44,53,53,45,45,60,60,80,80,52,52,78,78,83,83,173,181,256,292,207,315,270,294,183,223,235,235,134,134,109,137,128,128,2,888
26,2,34,34,36,36,41,41,44,44,53,53,45,35,?,?,80,80,52,52,79,79,83,83,157,185,252,264,171,227,270,278,223,251,223,243,134,194,113,133,236,236,12,888
27,2,33,33,36,36,41,42,44,44,51,53,45,25,60,60,80,80,52,52,79,79,83,83,181,225,268,284,171,183,278,330,203,239,223,227,134,158,109,137,232,236,12,888
28,2,34,34,36,36,42,42,44,44,51,53,45,45,60,60,80,80,52,52,?,?,83,83,133,169,256,264,199,211,266,274,235,239,187,259,138,150,109,141,136,248,12,888
29,2,33,34,36,36,41,42,44,44,54,53,45,35,60,60,80,80,52,52,78,79,83,83,209,233,252,264,171,263,274,326,223,247,187,267,178,258,105,121,112,120,2,888
30,2,33,33,36,36,41,41,44,44,53,53,45,45,60,60,80,80,52,52,79,79,83,83,181,181,224,268,183,211,258,266,179,235,231,243,134,158,93,149,124,212,12,888
31,2,33,33,36,37,41,42,44,44,54,53,25,25,60,60,80,80,52,52,78,78,83,83,169,169,228,256,191,207,270,294,227,247,223,247,134,158,97,137,132,248,12,888
32,2,33,34,36,36,41,42,44,44,52,53,25,25,50,60,80,80,52,52,79,79,83,83,169,177,228,252,171,199,274,278,227,231,191,239,134,134,137,137,184,248,2,888
33,2,33,33,36,36,41,42,44,44,53,53,45,25,60,60,80,80,52,52,78,79,83,83,161,169,248,264,227,227,270,286,235,235,211,223,158,246,105,149,128,248,12,888
34,2,33,34,36,36,41,42,44,44,52,53,25,25,50,60,80,80,52,52,79,79,82,83,153,169,236,296,167,207,266,274,211,215,195,231,134,134,109,149,128,168,12,888
35,2,33,33,36,37,41,41,44,44,51,53,25,35,60,60,70,80,52,52,79,79,83,83,169,181,228,272,215,299,270,298,203,251,227,243,138,158,105,133,228,92,2,888
36,2,33,33,36,36,41,42,44,44,51,53,25,35,60,60,80,80,51,52,78,79,83,83,209,225,228,268,179,199,262,302,211,251,219,243,142,158,105,109,132,132,12,888
37,2,33,33,36,37,41,41,44,44,51,51,35,35,60,60,80,80,51,52,79,79,83,83,133,165,224,228,207,211,254,266,203,211,231,315,158,162,145,149,100,220,12,888
38,2,33,33,36,36,41,41,44,44,53,53,25,35,60,60,80,80,52,52,79,79,83,83,177,181,288,296,211,227,290,326,235,239,247,311,138,162,121,133,128,156,2,888
39,2,33,34,36,36,41,42,44,44,53,53,45,45,60,60,70,80,52,52,78,79,83,83,157,181,268,300,207,211,266,326,211,255,203,259,134,162,109,113,184,236,12,888
40,2,33,33,36,36,41,42,44,44,53,53,45,55,60,60,80,80,52,52,79,79,82,83,157,177,252,304,183,215,266,270,207,207,235,263,134,134,105,121,168,188,12,888
1,3,33,33,36,36,?,?,?,?,?,?,?,?,?,?,80,80,?,?,79,79,83,83,157,169,232,240,195,215,262,274,211,219,231,231,134,162,85,97,108,148,12,888
2,3,33,33,36,36,41,41,44,44,51,51,45,45,50,60,80,80,52,52,79,79,83,83,185,185,228,232,175,283,274,282,203,211,187,203,154,166,85,117,104,116,4,888
3,3,33,33,36,36,41,42,44,44,?,?,45,45,60,60,80,80,52,52,78,79,82,83,133,169,212,240,179,263,290,310,203,247,187,235,134,134,93,125,136,136,19,888
4,3,33,33,36,36,41,42,44,44,51,51,25,35,60,60,80,80,52,52,79,79,83,83,173,173,228,288,179,191,270,270,211,219,259,279,158,182,121,145,136,236,12,888
